,appid,average_playtime,median_playtime,standard_deviation
4543,341800,196.0,251.0,2.71
4544,341820,0.0,0.0,0.0
4545,341860,0.7,0.7,0.0
4546,341870,0.0,0.0,0.0
4547,341890,0.0,0.0,0.0
4548,341910,0.0,0.0,0.0
4549,341930,0.0,0.0,0.0
4550,341940,206.0,206.0,2.58
4551,341950,79.0,79.0,0.0
4552,341980,287.0,288.0,0.0
4553,342020,0.0,0.0,0.0
4554,342090,639.0,639.0,0.0
4555,342100,0.0,0.0,0.0
4556,342130,0.0,0.0,0.0
4557,342150,74.0,109.0,0.0
4558,342180,128.0,128.0,0.0
4559,342190,0.0,0.0,0.0
4560,342200,812.0,104.0,0.0
4561,342230,0.0,0.0,0.0
4562,342240,755.0,755.0,0.0
4563,342250,0.0,0.0,0.0
4564,342260,36.0,36.0,0.0
4565,342300,0.0,0.0,0.0
4566,342310,32.0,32.0,0.0
4567,342350,0.0,0.0,0.0
4568,342360,241.0,254.0,0.0
4569,342380,688.0,1147.0,0.91
4570,342450,0.0,0.0,0.0
4571,342480,175.0,175.0,0.64
4572,342490,4.2,4.2,0.0
4573,342500,0.0,0.0,0.0
4574,342510,55.0,55.0,0.0
4575,342520,1.0,1.0,0.0
4576,342530,0.0,0.0,0.0
4577,342540,0.0,0.0,0.0
4578,342550,0.0,0.0,0.0
4579,342560,218.0,218.0,0.0
4580,342570,59.0,116.0,1.59
4581,342580,298.0,349.0,2.89
4582,342610,0.0,0.0,0.0
4583,342620,3.9,3.9,0.6
4584,342630,0.0,0.0,0.0
4585,342640,0.0,0.0,0.0
4586,342650,0.0,0.0,0.0
4587,342660,0.0,0.0,0.0
4588,342740,0.0,0.0,0.0
4589,342860,0.0,0.0,0.0
4590,342870,0.0,0.0,0.0
4591,342890,0.0,0.0,0.0
4592,342910,0.0,0.0,0.0
4593,342920,0.0,0.0,0.0
4594,342940,0.0,0.0,0.0
4595,342970,270.0,281.0,0.0
4596,342980,72.0,87.0,2.22
4597,342990,0.5,0.5,0.0
4598,343000,0.0,0.0,0.0
4599,343020,0.0,0.0,0.0
4600,343070,0.0,0.0,0.0
4601,343090,636.0,636.0,0.0
4602,343100,419.0,529.0,5.2
4603,343120,1.2,1.2,0.0
4604,343140,0.0,0.0,0.0
4605,343150,0.0,0.0,0.0
4606,343170,0.0,0.0,0.0
4607,343180,0.0,0.0,0.0
4608,343250,0.0,0.0,0.0
4609,343270,158.0,158.0,0.0
4610,343280,325.0,329.0,0.0
4611,343320,0.0,0.0,0.0
4612,343340,178.0,240.0,0.0
4613,343360,281.0,339.0,1.25
4614,343370,0.0,0.0,0.0
4615,343390,0.0,0.0,0.0
4616,343410,0.0,0.0,0.0
4617,343430,0.0,0.0,0.0
4618,343440,371.0,470.0,0.0
4619,343560,14.0,14.0,4.6
4620,343570,0.0,0.0,0.0
4621,343630,15.0,16.0,1.46
4622,343690,0.0,0.0,0.0
4623,343710,276.0,303.0,0.0
4624,343740,1.0,1.0,0.0
4625,343750,0.25,0.25,0.05
4626,343770,7.2,7.2,0.0
4627,343800,168.0,305.0,0.0
4628,343810,0.0,0.0,0.0
4629,343820,129.0,183.0,0.0
4630,343830,0.0,0.0,0.0
4631,343840,0.0,0.0,0.0
4632,343860,132.0,19.0,0.0
4633,343930,317.0,332.0,0.0
4634,344030,94.0,94.0,0.0
4635,344040,191.0,187.0,2.65
4636,344100,0.0,0.0,0.0
4637,344130,299.0,322.0,0.0
4638,344160,0.0,0.0,0.0
4639,344190,114.0,209.0,0.15
4640,344220,0.0,0.0,0.0
4641,344230,271.0,277.0,0.0
4642,344240,0.0,0.0,0.0
4643,344260,0.0,0.0,0.0
4644,344270,0.0,0.0,0.0
4645,344300,216.0,216.0,0.0
4646,344340,0.0,0.0,0.0
4647,344410,0.0,0.0,0.0
